Player,Pos,Squad,Age,MP,Min,Gls,Ast,xG,SoT
Alfon,"FW,MF",Celta Vigo,25.0,26,1371,5,2,4.6,19
Mohamed Ali Cho,"FW,MF",Nice,20.0,27,1621,3,4,4.0,15
Faride Alidou,"FW,MF",Hellas Verona,23.0,3,71,0,0,0.0,0
Alisson,GK,Liverpool,31.0,28,2508,0,0,0.0,0
Tadeo Allende,FW,Celta Vigo,25.0,1,2,0,0,0.0,0
Jim Allevinah,FW,Angers,29.0,28,1750,1,3,4.2,10
Dele Alli,MF,Como,28.0,1,9,0,0,0.0,0
Thiago Almada,"MF,FW",Lyon,23.0,16,951,1,4,2.0,5
Domingos André Ribeiro Almeida,"MF,FW",Valencia,24.0,34,1977,0,4,1.2,5
Iker Almena,"FW,DF",Girona,20.0,2,48,0,1,0.0,0
Miguel Almirón,FW,Newcastle Utd,30.0,9,157,0,0,0.5,2
Pontus Almqvist,"FW,MF",Parma,25.0,29,1112,1,1,2.1,9
Marcos Alonso,DF,Celta Vigo,33.0,31,2647,3,0,4.0,10
Giorgio Altare,DF,Venezia,25.0,12,753,0,0,0.2,1
Adrià Altimira,"DF,FW",Leganés,23.0,22,1630,0,0,0.3,2
Sergi Altimira,MF,Betis,22.0,32,1972,0,1,1.7,4
Edson Álvarez,MF,West Ham,26.0,28,1772,0,1,0.4,1
Hugo Álvarez,"MF,DF",Celta Vigo,21.0,26,1572,4,3,2.5,9
Julián Álvarez,FW,Atlético Madrid,24.0,37,2509,17,4,14.1,36
Yeray Álvarez,DF,Athletic Club,29.0,21,1781,1,0,0.5,2
Skelly Alvero,MF,Werder Bremen,22.0,12,236,0,0,0.0,0
Will Alves,FW,Leicester City,19.0,1,1,0,0,0.0,0
Selim Amallah,MF,Valladolid,27.0,24,1376,3,1,3.5,7
Harry Amass,DF,Manchester Utd,17.0,5,346,0,0,0.1,0
Amath,"FW,DF",Valladolid,28.0,13,375,0,1,0.4,1
Jordan Amavi,DF,Brest,30.0,11,790,0,0,0.3,3
Aurele Amenda,DF,Eint Frankfurt,21.0,8,96,0,0,0.0,0
Kelvin Amian,DF,Nantes,26.0,30,2165,1,0,1.0,4
Michael Amir Murillo,DF,Marseille,28.0,30,2437,1,3,1.5,4
Nadiem Amiri,MF,Mainz 05,27.0,30,2473,7,5,5.5,24
Samuel Amo-Ameyaw,"FW,DF",Southampton,18.0,2,28,0,0,0.0,0
Samuel Amo-Ameyaw,"DF,MF",Strasbourg,18.0,9,320,2,0,0.7,7
Mathis Amougou,MF,Chelsea,18.0,1,8,0,0,0.0,0
Mathis Amougou,MF,Saint-Étienne,18.0,17,859,0,0,0.5,1
Mohamed Amoura,FW,Wolfsburg,24.0,31,2467,10,9,8.7,25
Sofyan Amrabat,MF,Fiorentina,27.0,2,180,0,0,0.0,0
Joachim Andersen,DF,Crystal Palace,28.0,1,90,0,0,0.0,1
Joachim Andersen,DF,Fulham,28.0,29,2583,0,0,1.0,4
Elliot Anderson,MF,Nott'ham Forest,21.0,37,2728,2,6,2.1,7
André,MF,Wolves,23.0,33,2472,0,0,0.4,1
Benjamin André,MF,Lille,33.0,30,2692,0,3,1.4,4
Marcos André,FW,Valladolid,27.0,22,1188,1,2,2.7,2
Robert Andrich,"MF,DF",Leverkusen,29.0,23,1598,2,2,1.3,5
Angeliño,DF,Roma,27.0,38,3177,2,1,1.4,6
Lorenzo Anghelè,FW,Juventus,19.0,1,6,0,0,0.0,0
Faustino Anjorin,MF,Empoli,22.0,22,1114,2,3,0.9,7
Waldemar Anton,DF,Dortmund,28.0,26,1949,2,2,1.7,3
Leandro Antonetti,FW,Sevilla,21.0,2,28,0,0,0.1,1
Kyllian Antonio,"DF,MF",Lens,16.0,3,139,0,0,0.1,0
Michail Antonio,FW,West Ham,34.0,14,836,1,1,2.2,4
Antoniu,"FW,MF",Espanyol,21.0,26,1022,0,1,0.9,4
Antony,"DF,MF",Manchester Utd,24.0,8,141,0,0,1.0,3
Antony,FW,Betis,24.0,17,1362,5,2,2.9,17
Anuar,"MF,FW",Valladolid,29.0,26,1720,2,0,1.7,5
Dennis Appiah,DF,Saint-Étienne,32.0,29,2128,0,1,0.2,2
Aritz Arambarri,DF,Leganés,26.0,2,177,0,0,0.0,0
Mauro Arambarri,MF,Getafe,28.0,35,2661,10,0,8.2,16
Jon Aramburu,DF,Real Sociedad,22.0,35,2460,1,1,0.4,3
Julian Araujo,DF,Bournemouth,22.0,12,497,0,0,0.0,0
Ronald Araújo,DF,Barcelona,25.0,12,754,1,1,1.0,2
Cameron Archer,FW,Southampton,23.0,35,1441,2,0,5.7,10
Carlens Arcus,DF,Angers,28.0,28,2047,0,1,0.0,0
Alphonse Areola,GK,West Ham,31.0,26,2260,0,0,0.0,0
Adu Ares,FW,Athletic Club,22.0,1,19,0,0,0.0,0
Jesús Areso,DF,Osasuna,25.0,36,3079,0,3,0.2,0
David Argüelles,MF,Getafe,22.0,1,7,0,0,0.0,0
Joe Aribo,"MF,DF",Southampton,28.0,32,2013,3,0,2.7,7
Adam Armstrong,"FW,MF",Southampton,27.0,20,1248,2,2,3.3,7
Harrison Armstrong,MF,Everton,17.0,3,48,0,0,0.4,0
José Arnaiz,"FW,MF",Osasuna,29.0,15,133,0,0,0.3,3
Hákon Arnar Haraldsson,"MF,FW",Lille,21.0,25,1755,5,3,3.8,13
Marko Arnautović,FW,Inter,35.0,17,527,4,2,3.3,6
Maximilian Arnold,MF,Wolfsburg,30.0,28,2356,3,5,0.9,12
Jann-Fiete Arp,"FW,MF",Holstein Kiel,24.0,23,713,2,0,3.8,9
Sergio Arribas,DF,Betis,21.0,1,90,0,0,0.0,0
Kepa Arrizabalaga,GK,Bournemouth,29.0,31,2790,0,0,0.1,0
Arthur,DF,Leverkusen,21.0,20,752,0,1,0.1,0
Takuma Asano,"FW,MF",Mallorca,29.0,21,1054,2,1,2.7,8
Raúl Asencio,DF,Real Madrid,21.0,23,1670,0,1,0.1,1
Marco Asensio,MF,Aston Villa,28.0,13,743,3,1,4.4,9
Marco Asensio,"FW,MF",Paris S-G,28.0,12,618,2,4,5.6,14
Kristjan Asllani,MF,Inter,22.0,21,980,2,2,2.5,3
Iago Aspas,"FW,MF",Celta Vigo,36.0,30,1745,10,5,8.7,18
Yaser Asprilla,"FW,MF",Girona,20.0,27,1405,3,1,2.1,11
Lorenz Assignon,"DF,MF",Rennes,24.0,32,2357,3,4,2.2,5
Dehmaine Assoumani,"MF,FW",Nantes,19.0,12,98,0,0,0.1,2
Valentin Atangana Edoa,MF,Reims,18.0,34,2854,1,0,2.5,6
Arthur Atta,"MF,FW",Udinese,21.0,27,1251,0,1,1.3,7
Noah Atubolu,GK,Freiburg,22.0,26,2307,0,0,0.0,0
Emil Audero,GK,Como,27.0,8,720,0,0,0.0,0
Tommaso Augello,DF,Cagliari,29.0,38,2713,0,7,0.3,0
Carlos Augusto,DF,Inter,25.0,28,1625,3,2,2.8,6
Yann Aurel Bisseck,DF,Inter,23.0,26,1553,3,2,2.6,5
Brandon Austin,GK,Tottenham,25.0,1,90,0,0,0.0,0
Ezequiel Ávila,FW,Betis,30.0,19,677,2,0,1.5,10
Taiwo Awoniyi,FW,Nott'ham Forest,26.0,26,416,1,0,2.1,4
Yasin Ayari,MF,Brighton,20.0,34,1965,2,1,2.4,8
Florian Ayé,FW,Auxerre,27.0,26,575,2,0,1.9,3
André Ayew,FW,Le Havre,34.0,27,1453,4,1,4.3,9
Jordan Ayew,"FW,MF",Crystal Palace,32.0,1,21,0,0,0.5,0
Jordan Ayew,"FW,MF",Leicester City,32.0,30,1638,5,0,3.2,8
Neil El Aynaoui,MF,Lens,23.0,24,1588,8,1,4.0,7
Ayman Azhil,MF,Dortmund,23.0,1,24,0,0,0.0,0
Adam Aznou,DF,Valladolid,18.0,13,876,0,0,0.3,1
Adam Aznou,DF,Bayern Munich,18.0,2,17,0,0,0.0,0
César Azpilicueta,DF,Atlético Madrid,34.0,14,875,1,0,0.2,2
Paulo Azzi,DF,Cagliari,30.0,6,426,0,0,0.5,3
Oussama El Azzouzi,MF,Bologna,23.0,2,19,0,0,0.0,0
Papa Ba,MF,Girona,19.0,1,48,0,0,0.0,0
Shavy Babicka,"MF,FW",Toulouse,24.0,30,1186,4,2,3.9,9
Jacopo Bacci,MF,Empoli,19.0,3,31,0,0,0.0,0
Aliou Badara Baldé,"MF,FW",Bochum,21.0,5,91,0,0,0.2,1
Loïc Bade,DF,Sevilla,24.0,32,2686,1,1,0.6,4
Milan Badelj,MF,Genoa,35.0,23,1472,1,0,1.0,2
Benoît Badiashile,DF,Chelsea,23.0,5,334,0,0,0.0,0
Alex Baena,"MF,FW",Villarreal,23.0,32,2595,7,9,7.1,17
Juma Bah,DF,Valladolid,18.0,12,864,0,0,0.3,1
Juma Bah,DF,Lens,18.0,10,686,0,0,0.1,1
Leon Bailey,"FW,MF",Aston Villa,26.0,24,1139,1,2,1.7,6
Eric Bailly,DF,Villarreal,30.0,12,617,0,0,0.3,0
Theo Bair,FW,Auxerre,24.0,29,939,2,1,3.0,13
Stefan Bajcetic,"MF,DF",Las Palmas,19.0,14,969,1,0,0.3,2
Cédric Bakambu,FW,Betis,33.0,25,710,2,2,3.2,11
Mitchel Bakker,MF,Atalanta,24.0,1,22,0,0,0.0,0
Mitchel Bakker,"FW,DF",Lille,24.0,24,1139,3,2,3.0,10
Darryl Bakola,"DF,MF",Marseille,16.0,2,14,0,0,0.0,0
Ridle Baku,"FW,MF",Wolfsburg,26.0,15,1170,2,1,1.5,6
Ridle Baku,"DF,MF",RB Leipzig,26.0,19,1275,2,3,1.4,5
